1,2,0,-1,all,perc_1,perc_0,perc_2,perc_-1
1.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0.0
271.0,237.0,28.0,17.0,553,49.00542495479204,5.063291139240507,42.857142857142854,3.074141048824593
66.0,100.0,5.0,5.0,176,37.5,2.840909090909091,56.81818181818182,2.840909090909091
786.0,23.0,53.0,23.0,885,88.8135593220339,5.988700564971752,2.598870056497175,2.598870056497175
236.0,16.0,82.0,29.0,363,65.0137741046832,22.58953168044077,4.40771349862259,7.988980716253444
98.0,79.0,11.0,15.0,203,48.275862068965516,5.41871921182266,38.91625615763547,7.389162561576355
35.0,56.0,3.0,3.0,97,36.08247422680412,3.0927835051546393,57.73195876288659,3.0927835051546393
25.0,4.0,8.0,7.0,44,56.81818181818182,18.181818181818183,9.090909090909092,15.909090909090908
108.0,30.0,56.0,33.0,227,47.57709251101321,24.669603524229075,13.215859030837004,14.537444933920703
1595.0,508.0,1037.0,635.0,3775,42.25165562913907,27.470198675496686,13.456953642384107,16.821192052980134
1430.0,436.0,967.0,604.0,3437,41.60605178935118,28.13500145475706,12.685481524585393,17.573465231306372
25.0,2.0,12.0,10.0,49,51.02040816326531,24.489795918367346,4.081632653061225,20.408163265306122
4027.0,3946.0,833.0,509.0,9315,43.23134728931831,8.942565754159958,42.361782071927,5.464304884594739
199.0,299.0,24.0,21.0,543,36.64825046040516,4.41988950276243,55.06445672191529,3.867403314917127
19.0,10.0,2.0,0.0,31,61.29032258064516,6.451612903225806,32.25806451612903,0.0
310.0,18.0,96.0,41.0,465,66.66666666666666,20.64516129032258,3.870967741935484,8.817204301075268
15.0,4.0,2.0,2.0,23,65.21739130434783,8.695652173913043,17.391304347826086,8.695652173913043
74.0,19.0,9.0,17.0,119,62.18487394957983,7.563025210084033,15.966386554621847,14.285714285714285
10.0,1.0,2.0,3.0,16,62.5,12.5,6.25,18.75
1.0,0.0,0.0,0.0,1,100.0,0.0,0.0,0.0
14.0,11.0,3.0,1.0,29,48.275862068965516,10.344827586206897,37.93103448275862,3.4482758620689653
3.0,0.0,0.0,0.0,3,100.0,0.0,0.0,0.0
84.0,19.0,19.0,19.0,141,59.57446808510638,13.47517730496454,13.47517730496454,13.47517730496454
60.0,13.0,10.0,7.0,90,66.66666666666666,11.11111111111111,14.444444444444443,7.777777777777778
